Scenario;ID;min_Time_to_Process;max_Time_to_Process;min_work_precission;max_work_precission;min_work_speed;max_work_speed;min_info_pack_required;max_info_pack_required;nodes;tropic_coherence;collect_chance;info_pack_gen;priority_chance;probability
1;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
1;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
1;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
1;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
1;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
1;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
1;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
1;Network;-;-;-;-;-;-;-;-;150;0.6;0.15;15;0;0.005
2;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
2;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
2;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
2;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
2;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
2;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
2;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
2;Network;-;-;-;-;-;-;-;-;150;0.6;0.15;15;0.1;0.005
3;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
3;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
3;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
3;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
3;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
3;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
3;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
3;Network;-;-;-;-;-;-;-;-;150;0.6;0.15;15;0.6;0.005
4;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
4;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
4;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
4;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
4;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
4;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
4;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
4;Network;-;-;-;-;-;-;-;-;150;1;0.15;15;0;0.005
5;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
5;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
5;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
5;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
5;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
5;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
5;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
5;Network;-;-;-;-;-;-;-;-;150;1;0.15;15;0.1;0.005
6;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
6;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
6;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
6;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
6;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
6;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
6;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
6;Network;-;-;-;-;-;-;-;-;150;1;0.15;15;0.6;0.005
7;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
7;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
7;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
7;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
7;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
7;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
7;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
7;Network;-;-;-;-;-;-;-;-;150;2;0.15;15;0;0.005
8;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
8;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
8;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
8;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
8;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
8;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
8;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
8;Network;-;-;-;-;-;-;-;-;150;2;0.15;15;0.1;0.005
9;Info-regular;60;240;-;-;-;-;-;-;-;-;-;-;-;-
9;Info-priority;60;240;-;-;-;-;-;-;-;-;-;-;-;-
9;Info-permission;15;35;-;-;-;-;-;-;-;-;-;-;-;-
9;Empl-auto;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
9;Empl-nonA;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
9;Empl-Coll;-;-;0.85;0.95;0.8;1.2;3;7;-;-;-;-;-;-
9;Empl-Cont;-;-;0.85;0.95;0.8;1.2;-;-;-;-;-;-;-;-
9;Network;-;-;-;-;-;-;-;-;150;2;0.15;15;0.6;0.005
